Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Publication.Date,Total.number.of.passengers,Total.fatal.or.serious.injuries,Likelihood.of.serious.or.fatal.injury,Is.aircraft.destroyed,Make.model,Weather.Condition.missingness
20200728X34409,Accident,DCA20WA131,2020-07-14,"Durban, South Africa",South Africa,Non-Fatal,Missing/Unknown,Airplane,ZS-SJB,Boeing,737,No,1,Missing/Unknown,NUSC,Missing/Unknown,0,0,1,116,VMC,26-09-2020,117,0,0.0,False,Boeing/737,False
20200715X12929,Accident,CEN20CA285,2020-07-15,"Rochester, IN",United States,Non-Fatal,Substantial,Airplane,N2231T,Cessna,a185,No,1,Reciprocating,091,Personal,0,0,0,2,VMC,06-05-2021,2,0,0.0,False,Cessna/a185,False
20200715X70736,Accident,WPR20LA223,2020-07-15,"Vaughn, NM",United States,Non-Fatal,Substantial,Airplane,N8488Y,Piper,pa 30,No,2,Reciprocating,091,Personal,0,0,0,2,VMC,26-09-2020,2,0,0.0,False,Piper/pa 30,False
20200716X71613,Accident,ERA20CA253,2020-07-15,"Washington, NC",United States,Non-Fatal,Substantial,Airplane,N2038Q,Air Tractor,at502,No,1,Turbo Prop,137,Aerial Application,0,0,0,1,VMC,29-01-2021,1,0,0.0,False,Air Tractor/at502,False
20200716X94229,Accident,CEN20LA288,2020-07-16,"Independence, MO",United States,Non-Fatal,Substantial,Airplane,N630JL,Beech,36,No,1,Missing/Unknown,091,Personal,0,0,0,1,VMC,26-09-2020,1,0,0.0,False,Beech/36,False
20200717X43430,Accident,CEN20CA289,2020-07-17,"Glenwood Springs, CO",United States,Non-Fatal,Substantial,Airplane,N86WM,Cessna,305,No,1,Reciprocating,091,Personal,0,0,0,2,VMC,06-05-2021,2,0,0.0,False,Cessna/305,False
20200729X45803,Accident,CEN20CA317,2020-07-17,"Osceola, WI",United States,Non-Fatal,Substantial,Airplane,N1926N,Cessna,120,No,1,Reciprocating,091,Instructional,0,0,0,2,VMC,06-05-2021,2,0,0.0,False,Cessna/120,False
20200719X21958,Accident,CEN20LA290,2020-07-18,"Loveland, OH",United States,Non-Fatal,Substantial,Airplane,N4816A,Piper,pa22,No,1,Reciprocating,091,Personal,0,0,0,1,VMC,02-02-2021,1,0,0.0,False,Piper/pa22,False
20200719X23732,Accident,CEN20LA291,2020-07-18,"Arlington, TX",United States,Non-Fatal,Substantial,Airplane,N140AB,Cessna,140,No,1,Reciprocating,091,Instructional,0,0,0,2,VMC,02-02-2021,2,0,0.0,False,Cessna/140,False
20200720X01733,Accident,ERA20CA268,2020-07-18,"Linconville, ME",United States,Non-Fatal,Substantial,Airplane,N4365M,Piper,pa 12,No,1,Reciprocating,091,Personal,0,0,0,2,VMC,01-06-2021,2,0,0.0,False,Piper/pa 12,False
20200721X15152,Accident,ERA20CA264,2020-07-18,"Block Island, RI",United States,Non-Fatal,Substantial,Airplane,N58066,Mooney,m20j,No,1,Reciprocating,091,Personal,0,0,0,2,VMC,01-06-2021,2,0,0.0,False,Mooney/m20j,False
20200719X22746,Accident,CEN20LA292,2020-07-19,"Burns Flat, OK",United States,Non-Fatal,Substantial,Airplane,N3412C,Beech,a23-24,No,1,Reciprocating,091,Personal,0,0,0,4,VMC,26-09-2020,4,0,0.0,False,Beech/a23-24,False
20200720X02411,Accident,ERA20CA256,2020-07-19,"Wellington, FL",United States,Non-Fatal,Substantial,Airplane,N1655V,Cessna,172,No,1,Reciprocating,091,Personal,0,0,1,0,VMC,01-06-2021,1,0,0.0,False,Cessna/172,False
20200814X53733,Incident,DCA20WA137,2020-07-19,"Palma, Spain",Spain,,Missing/Unknown,Airplane,EI-EFJ,Boeing,737,No,2,Turbo Fan,NUSC,Missing/Unknown,0,0,0,0,VMC,26-09-2020,0,0,0.0,False,Boeing/737,False
20200721X02950,Accident,CEN20CA296,2020-07-20,"Bloomington, IN",United States,Non-Fatal,Substantial,Airplane,N8193A,Cessna,170b,No,1,Reciprocating,091,Personal,0,0,0,1,VMC,06-05-2021,1,0,0.0,False,Cessna/170b,False
20200722X71441,Accident,WPR20CA233,2020-07-20,"Bear Valley, AK",United States,Non-Fatal,Substantial,Airplane,N2929C,Cessna,180,No,1,Reciprocating,091,Personal,0,0,0,2,UNK,06-05-2021,2,0,0.0,False,Cessna/180,False
20200721X12813,Accident,CEN20CA302,2020-07-21,"Grayslake, IL",United States,Non-Fatal,Substantial,Airplane,N284M,Piper,pa28,No,1,Reciprocating,091,Personal,0,1,0,0,VMC,26-08-2021,1,1,1.0,False,Piper/pa28,False
20200721X20716,Accident,ERA20LA258,2020-07-21,"Pottstown, PA",United States,Non-Fatal,Substantial,Airplane,N4092D,Cessna,182,No,1,Reciprocating,091,Personal,0,0,0,3,VMC,26-09-2020,3,0,0.0,False,Cessna/182,False
20200721X85220,Accident,CEN20CA298,2020-07-21,"Cambridge, MN",United States,Non-Fatal,Substantial,Airplane,N2943C,Cessna,180,No,1,Reciprocating,091,Instructional,0,0,0,2,VMC,06-05-2021,2,0,0.0,False,Cessna/180,False
20200723X40050,Accident,ERA20LA259,2020-07-22,"Montgomery, AL",United States,Non-Fatal,Substantial,Airplane,N425BJ,Beech,400,No,2,Turbo Fan,091,Personal,0,0,0,2,VMC,26-09-2020,2,0,0.0,False,Beech/400,False
20200724X75230,Accident,DCA20WA128,2020-07-22,"Shanghai, China",China,,Substantial,Airplane,ET-ARH,Boeing,777,No,1,Missing/Unknown,129,Missing/Unknown,0,0,0,0,VMC,26-09-2020,0,0,0.0,False,Boeing/777,False
20200727X90424,Incident,WPR20WA241,2020-07-22,"Djugun, Australia",Australia,Non-Fatal,Minor,Airplane,VH-LBY,Cessna,441,No,1,Missing/Unknown,UNK,Missing/Unknown,0,0,0,8,VMC,26-09-2020,8,0,0.0,False,Cessna/441,False
20200804X73007,Accident,WPR20CA254,2020-07-22,"Clearwater, OR",United States,Non-Fatal,Substantial,Airplane,N9747H,Cessna,182,No,1,Reciprocating,091,Personal,0,0,0,4,VMC,06-05-2021,4,0,0.0,False,Cessna/182,False
20200814X13121,Incident,ENG20WA040,2020-07-23,"Chihuahua, Mexico",Mexico,,Missing/Unknown,Airplane,XA-GAI,Embraer,erj190,No,2,Turbo Fan,NUSC,Missing/Unknown,0,0,0,0,VMC,26-09-2020,0,0,0.0,False,Embraer/erj190,False
20200730X82601,Accident,ENG20WA038,2020-07-23,"Basel, Eswatini",Eswatini,,Destroyed,Airplane,HB-PNP,Piper,pa28rt,No,1,Missing/Unknown,NUSN,Missing/Unknown,0,0,0,0,VMC,26-09-2020,0,0,0.0,True,Piper/pa28rt,False
20200724X30720,Accident,ERA20LA261,2020-07-24,"Salinas, PR",United States,Non-Fatal,Substantial,Airplane,N1813Q,Cessna,177rg,No,1,Reciprocating,091,Instructional,0,0,0,2,VMC,26-09-2020,2,0,0.0,False,Cessna/177rg,False
20200914X31949,Incident,ENG20LA043,2020-07-24,"Charlotte, NC",United States,Non-Fatal,Minor,Airplane,N561NN,Bombardier Inc,cl-600-2d24,No,2,Missing/Unknown,121,Missing/Unknown,0,0,0,0,VMC,12-03-2021,0,0,0.0,False,Bombardier Inc/cl-600-2d24,False
20200725X04434,Accident,ERA20CA265,2020-07-25,"Fernandina Beach, FL",United States,Non-Fatal,Substantial,Airplane,N31720,Piper,pa28r,No,1,Reciprocating,091,Personal,0,0,0,1,VMC,10-06-2021,1,0,0.0,False,Piper/pa28r,False
